bench,watts,kwh,exit,error,cycles,instructions,r533f00,cache-references,cache-misses,seconds
fluidanimate,341.762338,0.000243,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,340.433333,0.000243,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,340.988462,0.000247,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,341.152564,0.000247,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,340.775641,0.000243,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,340.511538,0.000243,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,339.921795,0.000247,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,340.093590,0.000243,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
fluidanimate,340.594872,0.000243,0,0,3996.999506,8781604554,9811288434,4821417727,2910272741,254773,4.002068908
swaptions,338.879054,0.000463,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,338.174324,0.000463,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,338.423129,0.000460,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,338.279054,0.000463,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,338.375510,0.000460,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,338.714865,0.000463,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,339.115646,0.000463,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,339.871622,0.000463,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,340.176351,0.000467,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
swaptions,339.852027,0.000463,0,0,7401.445675,16282657612,17005766205,6847578350,4614789128,517297,7.409679544
freqmine,339.461905,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,339.290476,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,339.390476,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,340.552381,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,338.990476,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,338.985714,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,340.152381,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,337.971429,0.000063,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,342.718182,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
freqmine,339.909524,0.000067,0,704318672691,23976.843635,52742973441,93387086886,3103025667,24210188652,35186136,24.002595422
fluidanimate,340.251316,0.000240,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,340.450000,0.000237,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,340.290789,0.000237,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,340.242667,0.000237,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,340.497333,0.000237,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,341.070667,0.000237,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,340.342667,0.000237,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,340.858667,0.000237,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,340.621053,0.000240,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
fluidanimate,341.975000,0.000240,0,0,3904.721526,8588609166,9775545842,4689809249,2735730337,265476,3.910028273
bzip2,332.600000,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.633333,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.400000,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.033333,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.433333,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.433333,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.400000,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.800000,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.466667,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
bzip2,332.233333,0.000010,0,0,189.792370,408662987,655421063,6629,139718281,15766,0.190898423
fluidanimate,340.388889,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.706944,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.581944,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.615278,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.281944,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.575000,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.302778,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.546575,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.251389,0.000223,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
fluidanimate,340.187500,0.000227,0,0,3738.581332,8223162202,9641094519,4640722435,2623420087,276245,3.743474672
swaptions,340.068462,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,339.889147,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,339.182308,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,338.807692,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,339.509302,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,340.729231,0.000410,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,340.351538,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,340.150769,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,340.429457,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
swaptions,339.960769,0.000407,0,0,6501.456202,14302692502,15634150086,5719360856,4047697939,2675174,6.508696337
bzip2,334.000000,0.000010,0,0,190.226245,404281196,649579576,6664,138329935,23513,0.191308485
